     Refresh     ,Last Update : 2022-04-24 20:55:00,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
Time Series (Company),,,,,,,,,,,,,,,
Frequency,D,Ascending,0,,,,,,,,,,,,
Period(From),20160429,Korean,0,,,,,,,,,,,,
Period(To),CPD [20220422],,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Code,A069500,A232080,A143850,A195930,A238720,A192090,A148070,A136340,A182490,A132030,A130680,A114800,A138230,A139660,A130730
Name,KODEX 200,TIGER 코스닥150,TIGER 미국S&P500선물(H),TIGER 유로스탁스50(합성 H),KINDEX 일본Nikkei225(H),TIGER 차이나CSI300,KOSEF 국고채10년,KBSTAR 중기우량회사채,TIGER 단기선진하이일드(합성 H),KODEX 골드선물(H),TIGER 원유선물Enhanced(H),KODEX 인버스,KOSEF 미국달러선물,KOSEF 미국달러선물인버스,KOSEF 단기자금
Item Code,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300
Unit,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares
Base Date,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
D A T E,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
2016-04-29,"22,012","10,218","24,190","9,945","10,380","6,800","111,958","94,661","9,875","9,820","4,220","8,095","11,328","11,035","93,923"
2016-05-02,"21,845","10,026","24,090","9,755","10,025","6,706","111,962","94,593","9,850","9,970","4,145","8,140","11,304","11,040","93,933"
2016-05-03,"21,913","10,209","24,235","9,780","10,120","6,777","111,939","94,670","9,845","9,930","4,130","8,120","11,348","11,015","93,960"
2016-05-04,"21,800","10,122","24,065","9,600","10,115","6,829","112,208","94,747","9,845","9,860","4,045","8,170","11,474","10,890","93,960"
2016-05-09,"21,764","10,137","24,075","9,590","10,100","6,658","112,218","94,792","9,855","9,855","4,140","8,180","11,585","10,805","93,988"
2016-05-10,"21,850","10,199","24,135","9,595","10,305","6,682","112,250","94,806","9,795","9,750","4,030","8,145","11,648","10,720","93,984"
2016-05-11,"21,827","10,262","24,305","9,695","10,310","6,720","112,366","94,797","9,815","9,790","4,090","8,160","11,599","10,760","93,933"
2016-05-12,"21,778","10,281","24,180","9,560","10,345","6,635","112,343","94,797","9,835","9,800","4,215","8,175","11,546","10,810","93,965"
2016-05-13,"21,607","10,243","24,015","9,530","10,225","6,649","112,287","94,774","9,840","9,820","4,255","8,240","11,643","10,745","93,960"
2016-05-16,"21,638","10,209","23,990","9,515","10,290","6,677","112,264","94,765","9,900","9,835","4,300","8,235","11,725","10,670","93,960"
2016-05-17,"21,652","10,113","24,200","9,595","10,170","6,672","112,139","94,733","9,845","9,855","4,385","8,235","11,662","10,720","93,970"
2016-05-18,"21,530","9,930","23,940","9,555","10,365","6,663","112,023","94,697","9,860","9,800","4,405","8,295","11,750","10,635","93,979"
2016-05-19,"21,472","9,858","23,880","9,500","10,390","6,715","111,749","94,652","9,865","9,670","4,310","8,310","11,832","10,550","93,998"
2016-05-20,"21,472","9,988","24,010","9,505","10,395","6,710","112,083","94,701","9,900","9,650","4,400","8,305","11,827","10,565","94,002"
2016-05-23,"21,530","10,079","24,015","9,580","10,300","6,710","111,999","94,701","9,900","9,630","4,335","8,285","11,750","10,620","94,016"
2016-05-24,"21,377","10,016","23,950","9,475","10,265","6,672","112,199","94,769","9,915","9,600","4,330","8,345","11,846","10,545","94,035"
2016-05-25,"21,679","10,122","24,400","9,735","10,445","6,677","112,218","94,769","9,940","9,450","4,430","8,230","11,769","10,635","94,021"
2016-05-26,"21,638","10,060","24,440","9,880","10,455","6,630","112,194","94,779","9,960","9,485","4,480","8,235","11,745","10,655","93,993"
2016-05-27,"21,751","10,103","24,530","9,880","10,475","6,658","112,241","94,769","9,970","9,405","4,425","8,205","11,735","10,665","94,007"
2016-05-30,"21,701","10,132","24,625","9,945","10,555","6,691","112,032","94,711","9,970","9,260","4,425","8,220","11,846","10,550","94,021"
2016-05-31,"21,877","10,209","24,630","10,065","10,740","6,876","112,060","94,733","9,965","9,325","4,470","8,160","11,851","10,555","94,021"
2016-06-01,"21,890","10,233","24,550","9,960","10,530","6,885","112,468","94,865","9,990","9,360","4,410","8,155","11,846","10,545","94,030"
2016-06-02,"21,931","10,238","24,565","9,870","10,300","6,852","112,440","94,874","9,975","9,345","4,425","8,140","11,808","10,600","94,049"
2016-06-03,"21,967","10,233","24,685","9,915","10,325","6,885","112,445","94,910","9,925","9,315","4,440","8,130","11,769","10,630","94,053"
2016-06-07,"22,259","10,291","24,750","9,770","10,415","6,791","112,974","94,964","9,960","9,560","4,480","8,035","11,566","10,815","94,063"
2016-06-08,"22,484","10,319","24,735","9,805","10,460","6,753","113,048","94,983","9,990","9,610","4,565","7,995","11,498","10,870","94,072"
2016-06-09,"22,475","10,286","24,770","9,760","10,405","6,758","113,326","95,093","10,085","9,700","4,650","8,015","11,493","10,875","94,128"
2016-06-10,"22,385","10,353","24,760","9,675","10,290","6,762","113,558","95,148","10,020","9,755","4,580","8,010","11,585","10,810","94,128"
2016-06-13,"21,922","10,113","24,495","9,420","10,010","6,706","113,758","95,176","10,020","9,865","4,450","8,145","11,672","10,735","94,146"
2016-06-14,"21,850","10,127","24,375","9,255","9,885","6,644","113,637","95,139","10,050","9,835","4,430","8,160","11,667","10,740","94,156"
2016-06-15,"21,841","10,069","24,290","9,160","9,920","6,701","113,679","95,134","10,005","9,915","4,355","8,170","11,691","10,725","94,151"
2016-06-16,"21,674","9,983","24,225","9,155","9,630","6,587","114,008","95,171","10,020","10,020","4,315","8,230","11,643","10,765","94,179"
2016-06-17,"21,710","9,906","24,395","9,275","9,720","6,644","114,003","95,162","9,915","9,900","4,290","8,205","11,662","10,735","94,184"
2016-06-20,"22,012","9,997","24,525","9,565","9,945","6,644","113,762","95,125","9,940","9,860","4,420","8,095","11,551","10,845","94,179"
2016-06-21,"22,012","10,021","24,495","9,570","10,045","6,644","113,688","95,125","10,055","9,895","4,465","8,095","11,503","10,880","94,170"
2016-06-22,"22,138","9,983","24,490","9,640","10,025","6,668","113,707","95,130","10,060","9,710","4,510","8,050","11,498","10,910","94,170"
2016-06-23,"22,151","9,915","24,580","9,665","10,110","6,597","113,776","95,176","10,065","9,745","4,470","8,050","11,454","10,935","94,170"
2016-06-24,"21,440","9,401","23,530","8,660","9,290","6,625","114,690","95,373","10,095","10,190","4,310","8,305","11,754","10,655","94,193"
2016-06-27,"21,499","9,506","23,725","8,920","9,500","6,639","115,126","95,479","10,025","10,260","4,325","8,285","11,764","10,650","94,221"
2016-06-28,"21,553","9,665","23,640","8,900","9,545","6,677","115,247","95,355","9,975","10,165","4,285","8,250","11,658","10,740","94,216"
2016-06-29,"21,809","9,834","23,930","9,040","9,700","6,639","115,307","95,447","9,910","10,185","4,395","8,170","11,566","10,830","94,211"
2016-06-30,"21,967","9,920","24,255","9,195","9,740","6,639","115,423","95,488","9,970","10,125","4,480","8,145","11,469","10,925","94,225"
2016-07-01,"22,147","10,084","24,570","9,330","9,775","6,649","115,919","95,516","10,070","10,280","4,425","8,050","11,406","10,990","94,239"
2016-07-04,"22,223","10,132","24,710","9,330","9,810","6,706","115,882","95,543","10,020","10,380","4,480","8,025","11,415","10,975","94,244"
2016-07-05,"22,196","10,122","24,615","9,250","9,710","6,696","116,003","95,571","10,105","10,365","4,405","8,045","11,517","10,890","94,253"
2016-07-06,"21,751","10,055","24,415","9,005","9,530","6,753","116,072","95,594","9,955","10,560","4,315","8,195","11,619","10,800","94,253"
2016-07-07,"21,998","10,228","24,635","9,055","9,515","6,715","116,193","95,548","10,105","10,555","4,340","8,105","11,507","10,890","94,272"
2016-07-08,"21,886","10,156","24,545","9,070","9,425","6,715","116,281","95,548","10,140","10,470","4,235","8,145","11,561","10,850","94,267"
2016-07-11,"22,210","10,190","25,040","9,195","9,800","6,734","116,225","95,598","10,080","10,500","4,230","8,035","11,435","10,985","94,267"
2016-07-12,"22,210","10,194","25,035","9,305","9,970","6,743","116,123","95,534","10,200","10,425","4,215","8,045","11,444","10,950","94,277"
2016-07-13,"22,358","10,233","25,165","9,500","10,140","6,852","116,109","95,630","10,240","10,320","4,270","8,000","11,420","10,970","94,281"
2016-07-14,"22,399","10,190","25,230","9,445","10,150","6,819","116,495","95,635","10,135","10,275","4,230","7,985","11,348","11,040","94,291"
2016-07-15,"22,511","10,093","25,300","9,565","10,240","6,777","116,276","95,580","10,170","10,280","4,220","7,950","11,304","11,090","94,291"
2016-07-18,"22,552","10,127","25,350","9,630","10,290","6,781","116,068","95,640","10,145","10,230","4,245","7,925","11,323","11,065","94,291"
2016-07-19,"22,520","10,151","25,340","9,590","10,350","6,724","115,919","95,608","10,165","10,235","4,185","7,940","11,323","11,075","94,295"
2016-07-20,"22,480","10,209","25,350","9,515","10,300","6,739","115,864","95,672","10,260","10,210","4,185","7,945","11,367","11,040","94,295"
2016-07-21,"22,502","10,243","25,485","9,625","10,380","6,758","115,775","95,658","10,255","10,120","4,225","7,935","11,328","11,090","94,300"
2016-07-22,"22,489","10,170","25,355","9,630","10,300","6,729","115,859","95,676","10,295","10,200","4,170","7,940","11,314","11,095","94,304"
2016-07-25,"22,502","10,194","25,460","9,650","10,320","6,739","115,933","95,704","10,205","10,125","4,120","7,940","11,338","11,060","94,314"
2016-07-26,"22,701","10,151","25,450","9,655","10,220","6,772","116,040","95,640","10,230","10,135","4,085","7,865","11,309","11,080","94,314"
2016-07-27,"22,687","10,089","25,485","9,665","10,375","6,620","116,128","95,718","10,280","10,125","4,060","7,870","11,299","11,125","94,323"
2016-07-28,"22,637","10,108","25,455","9,745","10,235","6,630","116,318","95,782","10,155","10,295","3,960","7,890","11,207","11,210","94,323"
2016-07-29,"22,619","10,156","25,430","9,690","10,190","6,644","116,351","95,759","10,275","10,290","3,890","7,895","11,178","11,230","94,332"
2016-08-01,"22,804","10,079","25,575","9,850","10,275","6,559","116,495","95,764","10,250","10,340","3,960","7,835","11,057","11,350","94,332"
2016-08-02,"22,628","9,988","25,450","9,660","10,130","6,516","116,355","95,819","10,170","10,395","3,865","7,890","11,067","11,350","94,332"
2016-08-03,"22,340","9,983","25,255","9,455","9,985","6,573","115,924","95,768","10,145","10,495","3,810","7,975","11,130","11,275","94,337"
2016-08-04,"22,390","10,012","25,345","9,535","10,070","6,549","115,989","95,759","10,235","10,365","3,885","7,965","11,101","11,300","94,346"
2016-08-05,"22,633","9,906","25,400","9,570","10,100","6,554","116,249","95,805","10,295","10,480","3,915","7,885","11,067","11,335","94,346"
2016-08-08,"22,804","9,992","25,535","9,700","10,355","6,563","115,924","95,773","10,285","10,265","3,935","7,835","11,047","11,355","94,346"
2016-08-09,"22,980","10,093","25,510","9,680","10,410","6,592","115,956","95,764","10,220","10,205","3,955","7,780","11,013","11,390","94,346"
2016-08-10,"22,903","10,267","25,540","9,845","10,395","6,578","116,179","95,842","10,235","10,390","3,955","7,800","10,912","11,505","94,356"
2016-08-11,"22,930","10,141","25,530","9,830","10,350","6,611","116,244","95,860","10,230","10,295","3,935","7,790","10,950","11,455","94,365"
2016-08-12,"23,011","10,199","25,580","9,840","10,500","6,644","116,058","95,833","10,240","10,280","4,045","7,770","10,975","11,420","94,365"
2016-08-16,"22,998","10,122","25,640","9,845","10,315","6,819","116,128","95,833","10,240","10,360","4,130","7,765","10,883","11,515","94,370"
2016-08-17,"22,980","10,065","25,615","9,750","10,370","6,876","115,956","95,823","10,255","10,300","4,200","7,785","11,038","11,365","94,365"
2016-08-18,"23,146","10,122","25,605","9,725","10,220","6,900","116,109","95,869","10,335","10,365","4,245","7,725","11,042","11,360","94,379"
2016-08-19,"23,200","10,103","25,605","9,720","10,285","6,928","115,970","95,846","10,315","10,365","4,365","7,700","11,139","11,265","94,379"
2016-08-22,"23,065","9,911","25,590","9,615","10,275","6,885","115,878","95,814","10,325","10,225","4,300","7,745","11,227","11,180","94,388"
2016-08-23,"23,187","9,935","25,610","9,620","10,260","6,857","115,924","95,856","10,300","10,260","4,235","7,710","11,110","11,270","94,383"
2016-08-24,"23,079","9,915","25,660","9,720","10,290","6,862","116,063","95,883","10,305","10,235","4,250","7,745","11,173","11,215","94,383"
2016-08-25,"23,119","9,887","25,560","9,770","10,240","6,772","115,942","95,787","10,330","10,150","4,245","7,730","11,115","11,270","94,388"
2016-08-26,"23,029","9,824","25,530","9,665","10,150","6,753","115,952","95,787","10,315","10,125","4,260","7,750","11,091","11,295","94,407"
2016-08-29,"23,034","9,612","25,420","9,715","10,255","6,762","115,789","95,805","10,305","10,095","4,245","7,755","11,217","11,190","94,388"
2016-08-30,"23,128","9,641","25,600","9,745","10,310","6,772","115,933","95,796","10,345","10,105","4,255","7,725","11,164","11,245","94,388"
2016-08-31,"23,043","9,593","25,565","9,805","10,400","6,762","115,418","95,699","10,340","10,050","4,195","7,755","11,120","11,290","94,388"
2016-09-01,"22,984","9,757","25,550","9,805","10,395","6,833","115,159","95,695","10,325","10,040","4,100","7,770","11,168","11,205","94,402"
2016-09-02,"23,029","9,795","25,465","9,810","10,475","6,743","114,982","95,672","10,325","10,030","4,005","7,750","11,125","11,250","94,407"
2016-09-05,"23,322","9,834","25,620","10,000","10,515","6,758","115,135","95,713","10,365","10,165","4,070","7,665","11,013","11,370","94,407"
2016-09-06,"23,408","9,790","25,560","10,040","10,540","6,777","115,219","95,732","10,365","10,165","4,105","7,635","10,999","11,385","94,411"
2016-09-07,"23,363","9,708","25,670","10,010","10,420","6,720","115,608","95,727","10,370","10,355","4,095","7,645","10,858","11,525","94,421"
2016-09-08,"23,358","9,776","25,645","9,990","10,400","6,696","115,599","95,800","10,385","10,330","4,200","7,640","10,887","11,490","94,430"
2016-09-09,"23,083","9,689","25,570","9,960","10,510","6,724","115,210","95,690","10,390","10,250","4,255","7,730","10,941","11,455","94,425"
2016-09-12,"22,502","9,468","24,765","9,775","10,295","6,639","114,690","95,603","10,360","10,160","4,105","7,910","11,076","11,305","94,430"
2016-09-13,"22,583","9,535","25,230","9,850","10,390","6,639","114,625","95,608","10,350","10,170","4,145","7,885","11,154","11,225","94,435"
2016-09-19,"22,818","9,598","25,235","9,615","10,330","6,677","114,509","95,621","10,320","10,090","4,105","7,810","11,139","11,250","94,435"
2016-09-20,"22,854","9,718","25,195","9,685","10,265","6,743","114,551","95,630","10,340","10,095","4,045","7,800","11,159","11,225","94,444"
2016-09-21,"23,007","9,781","25,225","9,600","10,400","6,706","114,509","95,644","10,345","10,100","4,090","7,750","11,173","11,210","94,439"
2016-09-22,"23,209","9,882","25,385","9,685","10,365","6,668","114,987","95,750","10,350","10,235","4,110","7,685","10,994","11,395","94,453"
2016-09-23,"23,191","9,920","25,525","9,855","10,300","6,701","115,274","95,667","10,395","10,230","4,105","7,690","10,984","11,400","94,462"
2016-09-26,"23,115","9,843","25,370","9,835","10,225","6,635","115,451","95,709","10,400","10,230","4,080","7,720","11,033","11,340","94,458"
2016-09-27,"23,272","9,887","25,350","9,690","10,360","6,578","115,316","95,695","10,340","10,240","4,110","7,660","10,926","11,445","94,458"
2016-09-28,"23,205","9,843","25,325","9,660","10,245","6,582","115,455","95,626","10,390","10,165","4,075","7,690","10,926","11,470","94,453"
2016-09-29,"23,367","9,872","25,510","9,830","10,415","6,625","115,608","95,690","10,400","10,145","4,200","7,625","10,946","11,445","94,467"
2016-09-30,"23,115","9,699","25,165","9,630","10,310","6,611","116,276","95,810","10,400","10,175","4,180","7,715","10,980","11,425","94,486"
2016-10-04,"23,250","9,747","25,325","9,640","10,420","6,663","115,757","95,658","10,430","10,025","4,280","7,665","11,038","11,355","94,481"
2016-10-05,"23,236","9,699","25,255","9,765","10,500","6,620","115,298","95,653","10,430","9,725","4,335","7,670","11,101","11,295","94,481"
2016-10-06,"23,399","9,656","25,355","9,830","10,600","6,649","115,089","95,571","10,430","9,705","4,370","7,630","11,091","11,305","94,490"
2016-10-07,"23,326","9,506","25,310","9,810","10,475","6,672","114,978","95,552","10,430","9,595","4,415","7,650","11,115","11,270","94,495"
2016-10-10,"23,363","9,530","25,370","9,770","10,475","6,696","115,001","95,525","10,420","9,685","4,335","7,635","11,047","11,345","94,490"
2016-10-11,"23,038","9,473","25,385","9,815","10,575","6,753","114,259","95,525","10,420","9,630","4,430","7,750","11,168","11,225","94,481"
2016-10-12,"23,020","9,478","25,170","9,815","10,510","6,762","114,412","95,424","10,470","9,600","4,425","7,750","11,197","11,190","94,486"
2016-10-13,"22,818","9,357","24,970","9,760","10,540","6,791","115,019","95,626","10,470","9,660","4,340","7,825","11,304","11,070","94,509"
2016-10-14,"22,935","9,372","25,050","9,735","10,585","6,805","115,154","95,580","10,460","9,595","4,400","7,780","11,280","11,095","94,504"
2016-10-17,"22,971","9,338","24,945","9,800","10,615","6,805","114,430","95,497","10,450","9,590","4,375","7,770","11,352","11,045","94,509"
2016-10-18,"23,128","9,391","25,125","9,770","10,610","6,786","114,324","95,387","10,450","9,615","4,395","7,720","11,265","11,115","94,504"
2016-10-19,"23,155","9,401","25,150","9,890","10,610","6,781","114,412","95,497","10,450","9,650","4,430","7,710","11,212","11,190","94,509"
2016-10-20,"23,178","9,352","25,245","9,905","10,730","6,777","114,337","95,461","10,500","9,730","4,435","7,700","11,241","11,150","94,518"
2016-10-21,"23,065","9,295","25,140","9,980","10,730","6,805","114,393","95,415","10,505","9,680","4,390","7,740","11,304","11,070","94,514"
2016-10-24,"23,241","9,199","25,210","10,010","10,730","6,895","114,124","95,295","10,510","9,670","4,415","7,685","11,280","11,095","94,514"
2016-10-25,"23,205","9,122","25,285","10,020","10,815","6,914","114,208","95,360","10,515","9,695","4,435","7,700","11,304","11,075","94,509"
2016-10-26,"22,921","9,155","25,150","9,985","10,915","6,867","114,319","95,263","10,510","9,755","4,365","7,790","11,304","11,080","94,509"
2016-10-27,"23,025","9,352","25,090","9,935","10,790","6,876","113,887","95,263","10,450","9,700","4,330","7,750","11,377","10,990","94,514"
2016-10-28,"23,038","9,189","25,020","10,010","10,870","6,900","113,447","95,144","10,490","9,700","4,345","7,745","11,406","10,960","94,523"
2016-10-31,"22,993","9,083","25,120","9,960","10,855","6,871","113,669","95,213","10,460","9,790","4,270","7,770","11,391","10,985","94,523"
2016-11-01,"23,002","9,098","25,080","9,905","10,860","6,923","113,419","95,213","10,450","9,780","4,210","7,770","11,367","11,020","94,528"
2016-11-02,"22,701","8,876","24,710","9,820","10,680","6,923","113,382","95,208","10,410","9,905","4,165","7,870","11,444","10,920","94,537"
2016-11-03,"22,777","8,924","24,635","9,720","10,685","6,928","113,762","95,236","10,370","9,960","4,140","7,845","11,348","11,025","94,546"
2016-11-04,"22,696","8,871","24,580","9,705","10,610","6,952","113,679","95,295","10,365","9,925","4,090","7,870","11,401","10,985","94,551"
2016-11-07,"22,917","9,045","24,815","9,620","10,680","6,919","113,646","95,190","10,370","9,855","4,080","7,795","11,391","10,990","94,551"
2016-11-08,"22,966","9,059","25,090","9,735","10,705","6,923","113,553","95,346","10,400","9,800","4,085","7,785","11,304","11,065","94,551"
2016-11-09,"22,493","8,756","24,125","9,415","10,215","6,919","114,129","95,387","10,390","10,085","4,020","7,935","11,449","10,930","94,565"
2016-11-10,"22,939","9,083","25,545","9,935","10,900","7,051","112,723","95,203","10,375","9,855","4,115","7,785","11,474","10,925","94,583"
2016-11-11,"22,710","9,001","25,580","9,885","10,880","7,160","111,666","95,134","10,375","9,670","4,075","7,855","11,599","10,780","94,569"
2016-11-14,"22,529","8,958","25,625","9,920","11,085","7,198","110,543","94,978","10,375","9,325","4,000","7,915","11,667","10,715","94,555"
2016-11-15,"22,448","8,871","25,465","9,915","11,075","7,184","110,297","94,905","10,280","9,390","4,015","7,950","11,653","10,715","94,546"
2016-11-16,"22,529","9,016","25,695","9,920","11,180","7,208","110,274","94,841","10,350","9,430","4,120","7,920","11,643","10,725","94,546"
2016-11-17,"22,516","9,016","25,665","9,880","11,155","7,155","110,019","94,625","10,335","9,380","4,070","7,920","11,706","10,660","94,542"
2016-11-18,"22,507","8,900","25,735","9,870","11,250","7,198","109,662","94,684","10,365","9,200","4,055","7,920","11,764","10,600","94,542"
2016-11-21,"22,462","8,741","25,785","9,800","11,255","7,226","109,592","94,625","10,365","9,280","4,140","7,945","11,798","10,570","94,523"
2016-11-22,"22,719","8,794","25,915","9,890","11,290","7,274","109,643","94,680","10,355","9,320","4,300","7,850","11,691","10,660","94,537"
2016-11-23,"22,804","8,684","25,995","9,920","11,290","7,274","109,662","94,593","10,385","9,255","4,225","7,825","11,706","10,640","94,528"
2016-11-24,"22,687","8,602","25,955","9,880","11,480","7,302","109,207","94,464","10,450","9,040","4,235","7,860","11,735","10,620","94,537"
2016-11-25,"22,696","8,631","26,005","9,875","11,465","7,321","109,365","94,519","10,425","9,025","4,180","7,860","11,706","10,645","94,514"
2016-11-28,"22,764","8,554","26,050","9,930","11,400","7,406","109,430","94,501","10,415","9,095","4,115","7,835","11,633","10,700","94,528"
2016-11-29,"22,773","8,607","25,940","9,810","11,440","7,444","109,754","94,680","10,425","9,110","4,150","7,840","11,624","10,710","94,537"
2016-11-30,"22,885","8,573","26,010","9,825","11,460","7,421","109,801","94,689","10,425","9,075","4,100","7,800","11,629","10,715","94,546"
2016-12-01,"22,903","8,578","25,950","9,855","11,550","7,435","109,128","94,593","10,425","8,990","4,355","7,800","11,619","10,730","94,555"
2016-12-02,"22,741","8,419","25,780","9,760","11,420","7,425","108,641","94,648","10,410","8,965","4,355","7,855","11,662","10,675","94,569"
2016-12-05,"22,714","8,284","25,775","9,670","11,355","7,269","109,054","94,606","10,420","8,995","4,445","7,860","11,696","10,660","94,593"
2016-12-06,"22,989","8,381","25,995","9,900","11,450","7,312","109,392","94,740","10,480","8,930","4,490","7,770","11,643","10,715","94,602"
2016-12-07,"23,052","8,333","26,105","10,030","11,550","7,255","109,198","94,721","10,495","8,935","4,440","7,755","11,633","10,740","94,611"
2016-12-08,"23,444","8,400","26,400","10,205","11,665","7,236","109,369","94,786","10,500","8,990","4,400","7,635","11,536","10,825","94,621"
2016-12-09,"23,457","8,563","26,535","10,280","11,815","7,274","109,105","94,684","10,510","8,920","4,450","7,615","11,604","10,740","94,630"
2016-12-12,"23,426","8,693","26,660","10,400","11,910","7,113","108,571","94,749","10,555","8,835","4,600","7,630","11,624","10,735","94,639"
2016-12-13,"23,471","8,780","26,585","10,350","11,955","7,113","108,919","94,739","10,555","8,870","4,550","7,610","11,614","10,750","94,644"
2016-12-14,"23,493","8,799","26,755","10,460","12,030","7,103","109,518","94,944","10,580","8,865","4,515","7,605","11,648","10,725","94,667"
2016-12-15,"23,484","8,891","26,670","10,415","11,995","6,999","109,072","94,874","10,545","8,730","4,500","7,600","11,740","10,635","94,667"
2016-12-16,"23,543","8,919","26,725","10,440","12,095","6,999","109,309","94,902","10,550","8,650","4,480","7,585","11,788","10,585","94,662"
2016-12-19,"23,561","8,867","26,750","10,540","12,090","6,990","109,360","94,907","10,520","8,715","4,550","7,585","11,822","10,570","94,667"
2016-12-20,"23,615","8,804","26,750","10,510","12,110","6,938","109,592","94,893","10,525","8,680","4,515","7,570","11,885","10,510","94,686"
2016-12-21,"23,583","8,746","26,810","10,560","12,055","7,032","109,713","94,865","10,570","8,685","4,595","7,575","11,871","10,510","94,676"
2016-12-22,"23,570","8,698","26,670","10,545","12,010","7,103","109,866","94,967","10,570","8,630","4,545","7,585","11,934","10,445","94,686"
2016-12-23,"23,538","8,799","26,665","10,565","12,040","7,056","110,033","95,037","10,585","8,640","4,555","7,590","11,982","10,430","94,690"
2016-12-26,"23,583","8,770","26,820","10,570","12,100","7,084","109,940","95,032","10,590","8,825","4,535","7,585","11,958","10,440","94,686"
2016-12-27,"23,619","8,794","26,750","10,600","12,030","7,080","109,787","95,032","10,595","8,720","4,565","7,580","12,026","10,390","94,690"
2016-12-28,"23,696","9,001","26,730","10,635","12,095","7,118","110,238","95,144","10,590","8,735","4,620","7,550","12,045","10,370","94,714"
2016-12-29,"23,709","9,059","26,600","10,580","11,990","7,113","110,571","95,218","10,575","8,780","4,640","7,540","12,031","10,375","94,723"
2017-01-02,"23,790","9,030","26,450","10,600","11,870","7,065","110,534","95,181","10,600","8,900","4,615","7,525","12,040","10,375","94,742"
2017-01-03,"23,979","9,064","26,520","10,750","11,975","7,132","110,647","95,255","10,620","8,845","4,675","7,465","11,982","10,420","94,751"
2017-01-04,"24,006","9,126","26,635","10,805","12,150","7,160","110,257","95,255","10,630","8,890","4,605","7,460","12,006","10,390","94,761"
2017-01-05,"23,912","9,131","26,785","10,805","12,150","7,212","110,398","95,339","10,660","8,990","4,640","7,490","11,820","10,555","94,784"
2017-01-06,"24,015","9,146","26,795","10,790","12,200","7,165","110,637","95,339","10,655","8,990","4,650","7,455","11,884","10,495","94,789"
2017-01-09,"24,074","9,160","26,925","10,740","12,210","7,189","109,975","95,278","10,660","8,965","4,670","7,440","12,040","10,370","94,789"
2017-01-10,"24,042","9,030","26,760","10,650","12,045","7,170","110,078","95,316","10,680","9,060","4,585","7,455","11,908","10,470","94,794"
2017-01-11,"24,475","9,025","26,765","10,710","12,060","7,141","110,045","95,339","10,700","9,075","4,515","7,305","11,913","10,475","94,794"
2017-01-12,"24,538","8,958","26,785","10,760","11,935","7,009","110,440","95,399","10,690","9,140","4,570","7,305","11,805","10,585","94,803"
2017-01-13,"24,475","8,987","26,815","10,735","12,000","7,032","110,346","95,385","10,685","9,090","4,635","7,310","11,698","10,660","94,813"
2017-01-16,"24,340","8,948","26,840","10,785","11,955","6,971","110,083","95,427","10,695","9,140","4,610","7,350","11,786","10,600","94,817"
2017-01-17,"24,434","8,871","26,810","10,705","11,755","6,975","110,045","95,436","10,690","9,220","4,590","7,325","11,708","10,665","94,827"
2017-01-18,"24,421","8,944","26,830","10,635","11,735","7,009","110,111","95,432","10,700","9,250","4,590","7,330","11,629","10,740","94,827"
2017-01-19,"24,434","8,948","26,825","10,715","11,855","7,084","109,636","95,376","10,660","9,165","4,530","7,320","11,727","10,640","94,836"
2017-01-20,"24,398","8,847","26,815","10,655","11,920","7,103","109,862","95,427","10,690","9,205","4,505","7,335","11,659","10,705","94,841"
2017-01-23,"24,376","8,780","26,735","10,695","11,810","7,103","110,200","95,474","10,690","9,280","4,550","7,340","11,615","10,745","94,846"
2017-01-24,"24,380","8,741","26,765","10,615","11,740","7,084","110,247","95,492","10,680","9,270","4,545","7,340","11,615","10,745","94,846"
2017-01-25,"24,470","8,727","26,940","10,670","11,855","7,089","110,134","95,492","10,695","9,150","4,530","7,315","11,624","10,745","94,860"
2017-01-26,"24,668","8,775","27,210","10,760","12,040","7,075","109,632","95,395","10,705","9,090","4,540","7,255","11,556","10,815","94,860"
2017-01-31,"24,533","8,770","26,850","10,570","11,845","7,099","109,838","95,455","10,710","9,170","4,490","7,295","11,575","10,780","94,855"
2017-02-01,"24,605","8,910","26,920","10,550","11,950","7,065","109,857","95,464","10,715","9,180","4,495","7,270","11,541","10,815","94,874"
2017-02-02,"24,511","8,794","26,790","10,560","11,750","7,065","109,820","95,478","10,715","9,260","4,550","7,310","11,433","10,910","94,893"
2017-02-03,"24,529","8,799","26,885","10,595","11,720","6,994","109,716","95,469","10,730","9,260","4,560","7,295","11,438","10,895","94,888"
2017-02-06,"24,587","8,838","27,110","10,580","11,760","6,914","109,848","95,515","10,740","9,325","4,590","7,280","11,345","10,995","94,902"
2017-02-07,"24,565","8,809","27,050","10,540","11,700","6,900","110,200","95,599","10,745","9,380","4,525","7,295","11,404","10,930","94,912"
